SpecimenID,Replicates,S,Structure,F,Filter,Rep_x,ParticleSize_nm,Penetration_pct,DeltaP_Pa,SpecBase,Rep_y
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,30,0.939061,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,40,2.271877,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,60,7.035967,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,80,8.570086,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,150,14.999649,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,250,12.718878,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,300,10.931854,181.73918006666665,S2F3,4
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,400,7.929604,181.73918006666665,S2F3,4
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,30,0.96913,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,40,2.325668,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,60,7.168455,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,80,8.700693,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,150,15.002712,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,250,12.770223,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,300,10.971619,177.91215441666665,S2F3,5
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,400,7.956109,177.91215441666665,S2F3,5
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,30,15.32594,240.63761966666664,S3F1,1
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,40,21.041917,240.63761966666664,S3F1,1
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,60,32.141428,240.63761966666664,S3F1,1
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,80,37.642438,240.63761966666664,S3F1,1
